,features,Aggressive_label,Attractive_label,Confident_label,Intelligent_label,Masculine_label,Trust_label
128,f0mean_Norm,0,0,0,0,0,0
129,CoG_s_Norm,0,0,0,0,0,0
130,CoG_z_Norm,0,0,0,0,0,0
131,H1H2_Norm,0,0,0,0,0,0
132,H1A1_Norm,0,0,0,0,0,0
133,H1A2_Norm,0,0,0,0,0,0
134,H1A3_Norm,0,0,0,0,0,0
135,Gender_male,0,0,0,0,0,0
136,Gender_female,0.043935525,0.904449832,0.550021351,0.425487891,0,0.264279288
137,onset_number,0,0.011031519,0.007277203,0.006115194,0.007919681,0.003019064
138,onset_strength_max,0,-0.007500707,0,0,-0.016287123,0
139,onset_strength_mean,0,0,0,0,0,0
140,onset_strength_var,0,0,0,0,-0.026049981,0
141,RMSE_max,0,0,0,0,0,0
142,RMSE_var,0,0,0,0,0,0
143,Pitch_0,0,0,0,0,0,0
144,Pitch_1,0,0,0,0,0,0
145,Pitch_2,0,0,0,0,0,0
146,Pitch_3,0,0,0,0,0,0
147,Pitch_4,0,0,0,0,0,0
148,Pitch_5,0,0,0,0,0,0
149,Pitch_6,0,0,0,0,0,0
150,Pitch_7,0,0,0,0,0,0
151,Pitch_8,0,0,0,0,0,0
152,Pitch_9,0,0,0,0,0,0
153,Pitch_10,0,0,0,0,0,0
154,Pitch_11,0,0,0,0,0,0
155,Gaus_mean_0,0.004651447,0.000455626,0.002710957,0.002314739,-0.00075963,0.000471006
156,Gaus_var_0,9.96E-05,3.10E-05,9.95E-05,6.31E-05,8.63E-05,2.74E-06
157,Gaus_mean_1,0.001559278,-0.00117314,-0.000350863,0.000246468,0.000429047,0
158,Gaus_var_1,-0.000120801,6.06E-05,-8.88E-05,1.28E-05,2.92E-06,7.20E-05
159,Gaus_mean_2,-3.14E-05,0.002551465,-0.002066553,-0.000361342,0.011833298,0.000935717
160,Gaus_var_2,0.000278068,-5.86E-05,0.000194975,6.68E-05,2.39E-06,4.90E-05
161,Gaus_mean_3,0.00293445,0.005052596,0.005244099,0.004378055,0.018999598,0.005023218
162,Gaus_var_3,0.000283449,0.000101783,0.000219321,0.000268042,-9.40E-06,6.66E-05
163,Gaus_mean_4,-0.00734504,-0.001777809,-0.008111032,-0.001538203,0.001586393,0.001280862
164,Gaus_var_4,0.000127553,0.000395649,0.000387932,0.000294192,0.000664048,0.000288768
165,Gaus_mean_5,-0.003300988,0.002100984,-0.004424084,0.001001401,0.005826759,-0.001644411
166,Gaus_var_5,-0.000164443,0.000588167,-0.000112266,0.000194283,-0.000575948,4.95E-06
167,Gaus_mean_6,-0.004305014,0.005508085,-0.002062539,-0.00261824,0.005976597,0.002408557
168,Gaus_var_6,-0.000121142,-0.000588596,-0.000278539,-0.000489604,-0.000542221,-0.000169205
169,Gaus_mean_7,-0.010957187,-0.01025469,-0.010214829,-0.008824586,0.008651517,-0.002070123
170,Gaus_var_7,4.94E-05,-0.000560917,-9.59E-05,-0.000396821,0.000235567,-0.00038699
171,Gaus_mean_8,-0.011774943,0.008177707,-0.013780909,0.00138741,-0.020375562,0.003253657
172,Gaus_var_8,0.001340848,0.000888419,0.00153177,0.000869619,0.001668346,0.001345096
173,Gaus_mean_9,-0.004175721,-4.82E-05,-0.003725954,-0.000530568,-0.011518104,-0.001320979
174,Gaus_var_9,-0.0015511,-0.002101896,-0.001174977,-0.001383109,-0.002188482,-0.001530126
175,Gaus_mean_10,-0.009890915,-0.012082213,-0.010986295,-0.00450569,-0.024105542,-0.012166559
176,Gaus_var_10,-0.000422265,-0.000332176,-0.000507705,-0.000190263,0.000512481,-0.000127115
177,Gaus_mean_11,0,-0.012866005,-0.004807464,-0.007133025,-0.014085854,-0.00652399
178,Gaus_var_11,0.002215515,0.000790756,0.002442331,0.000457774,0.00316014,0.00064788
179,Gaus_mean_12,-0.002210251,-0.009420723,-0.006860832,-0.002892283,-0.01759027,-0.002096548
180,Gaus_var_12,-0.000570952,-0.000505193,-0.001209166,-0.000301794,-0.000473937,-0.000696067
181,Gaus_mean_13,0.008910349,0.000745655,0.005025807,0.004746871,0,0.000780084
182,Gaus_var_13,0.000952823,-0.000756262,0.000257538,5.01E-06,-0.002129334,-0.00086641
183,Gaus_mean_14,-0.002092791,-0.000369848,0,0.003190993,-0.011302785,0.000419322
184,Gaus_var_14,4.48E-05,9.17E-05,-0.000705339,-9.90E-05,0.002005999,0
185,Gaus_mean_15,0.007719857,-0.000864328,0.010161301,0.003640262,0.029066141,1.16E-05
186,Gaus_var_15,-0.000739923,-0.001172025,-0.000683223,-0.00056836,-0.001030943,-0.000513021
187,Gaus_mean_16,-0.00121215,0,-0.003010747,-0.005460685,0,-0.000638231
188,Gaus_var_16,-0.00044294,-0.002731571,-0.000298699,-0.001003873,-0.000172676,-0.001067107
189,Gaus_mean_17,0.009836441,0,0.009233905,0,-0.000705886,0
190,Gaus_var_17,-0.000143282,-0.000410325,0.000244982,0.000548149,-0.000348667,9.91E-05
191,Gaus_mean_18,0,0.011725261,-0.001426617,0.004224421,0,0.007396096
192,Gaus_var_18,-0.000991531,-0.000487754,-0.00116937,-0.002556494,-0.001813331,-0.001812059
193,Gaus_mean_19,0.023553863,0.002579486,0.027039114,0.014762133,0.027333824,0.006946373
194,Gaus_var_19,-0.000140723,0.001087786,0.000542047,0.000958659,0.000670798,0.001058322
195,Gaus_mean_20,0.00033383,-0.007923946,0,-0.002823344,0.000350985,-0.00051712
196,Gaus_var_20,0.000765648,0.000170105,-0.000539728,-0.001421335,-0.000680311,0.000219996
197,Gaus_mean_21,0,-0.013463957,0.004584062,-0.005319989,0.001359349,-0.015078978
198,Gaus_var_21,0.00057238,-0.000293743,0.001289485,-0.000701218,-0.000625016,0.000456424
199,Gaus_mean_22,0,0.00156808,0,-0.000782222,-0.016059436,0.002160374
200,Gaus_var_22,0.000384732,0,0.000429129,-0.000558363,0,-0.001197195
201,Gaus_mean_23,0.000702281,-0.007853098,0,0,0,-0.003261143
202,Gaus_var_23,-0.000888404,-0.000809016,0.000341435,-4.47E-05,0.00086365,-0.000279454
203,Gaus_mean_24,-0.006801678,0,-0.012721115,0,-0.006912119,0.001847716
204,Gaus_var_24,0.001679441,0.002785248,0.00237996,0.002508599,0,0.000538988
205,Gaus_mean_25,0.011100732,0.007191317,0.018141359,0,0.003026072,0
206,Gaus_var_25,0.000571488,0.000117149,0.000317884,0.001077387,0.000191721,0.002119079
207,Gaus_mean_26,-0.012684653,-0.011356188,-0.008443291,-0.011816836,-0.016962764,0
208,Gaus_var_26,0.001460328,-0.00052828,7.69E-05,-9.72E-05,3.35E-05,0
209,Gaus_mean_27,-0.023156467,0.00048822,-0.013230934,-0.005890774,-0.017279427,0
210,Gaus_var_27,0.000437557,0.001333443,0.002031806,0.00124405,-0.000954549,0.000806994
211,Gaus_mean_28,0,0.013791492,0.004083456,0.002515981,0.020214143,0.006739284
212,Gaus_var_28,0.001870877,0.002509189,0.00175607,0.002068905,0.001344206,0
213,Gaus_mean_29,0.008127231,0.011620358,0.011572887,0.006104399,0.00312377,0.002883811
214,Gaus_var_29,0.001127095,2.61E-06,-0.000370615,-0.00022408,-0.001310546,0.002579117
215,Gaus_mean_30,0,0.0102204,0,0,-0.001635145,0.00686181
216,Gaus_var_30,0.002712847,0.000255155,0.00221862,0.002723046,0.002510035,0.000370517
217,Gaus_mean_31,0.001853833,0.005403974,0,-0.001894094,0.001416913,-0.013291313
218,Gaus_var_31,0.001912521,0,0.001042852,0.001191096,0.00130288,0.000491728
219,Gaus_mean_32,0.001034467,0.027536805,0.002692452,0.010728688,0.029552471,0.021808679
220,Gaus_var_32,-0.002717799,-0.000874213,-0.001365273,-0.000658248,-0.001143844,0.000652684
221,Gaus_mean_33,0.001998767,0.007519095,0.008569616,0.009213664,-0.000764895,0
222,Gaus_var_33,0.00115628,0.000491338,0,-0.000478482,-0.001995638,-0.001072092
223,Gaus_mean_34,-0.012865057,-0.014076596,-0.01707782,-0.016505596,-0.008721213,0
224,Gaus_var_34,9.68E-05,-0.002073012,-0.000104339,-0.001214304,-8.96E-05,-0.000237218
225,Gaus_mean_35,0,0.01072783,0.012190575,0.005737461,-0.000991481,0.000832209
226,Gaus_var_35,0.000976697,0.000641901,0.000450594,0.00215097,0.000176108,0.000193635
227,Gaus_mean_36,0,0.009920468,0,0,-0.004895835,0
228,Gaus_var_36,0.002067139,0.002208779,0.003278989,0.001204556,-0.001850318,0.000608026
229,Gaus_mean_37,0.0130397,0,0.012034255,0.014337679,0,0.009554713
230,Gaus_var_37,0.000259987,-0.000121177,-0.000430149,-5.62E-05,0.000626396,0.001101294
231,Gaus_mean_38,0.018850228,0.004603596,0.003993879,0,0,0
232,Gaus_var_38,0.001722878,0.00165981,0.003873312,0.002603189,0.002232425,0.001938986
